eta2,epsilon2,omega2,N
0.009147579,-8.31E-05,-0.000886209,60
0.005057505,-0.002879849,-0.003564292,70
0.008861884,0.000965881,0.000274525,70
0.006940069,-0.000976823,-0.001664275,70
0.007121042,-0.000793883,-0.001482016,70
0.010270233,0.002389538,0.001696249,70
0.006312509,-0.001611204,-0.002297467,70
0.008728624,0.000831173,0.000140629,70
0.007756345,-0.000151674,-0.000840845,70
0.007298644,-0.00061435,-0.001303122,70
0.007105286,-0.00080981,-0.001497908,70
0.007192087,-0.000722066,-0.001410258,70
0.006037672,-0.001889028,-0.002574863,70
0.008257377,0.000354804,-0.000335061,70
0.008917438,0.001022039,0.000331229,70
0.004934462,-0.00300423,-0.003688212,70
0.007345644,-0.000566839,-0.001255075,70
0.00827813,0.000375782,-0.0003141,70
0.006676051,-0.001243711,-0.001930518,70
0.005585382,-0.002346234,-0.003031483,70
0.007488423,-0.000422509,-0.001110987,70
0.009676033,0.00178888,0.001096819,70
0.006641125,-0.001279017,-0.001966292,70
0.006617291,-0.00130311,-0.001990496,70
0.007625098,-0.000284348,-0.00097253,70
0.005268541,-0.00266652,-0.003351773,70
0.008122749,0.000218713,-0.00047133,70
0.008256715,0.000354135,-0.000335469,70
0.010047889,0.002164778,0.001471744,70
0.00905622,0.00116233,0.000471121,70
0.008922233,0.001026887,0.000335463,70
0.007057305,-0.000858313,-0.001546418,70
0.008648701,0.000750381,5.96E-05,70
0.008962668,0.001067761,0.000376682,70
0.007545271,-0.000365042,-0.001053755,70
0.009106516,0.001213172,0.000521505,70
0.008905978,0.001010454,0.000319717,70
0.008475845,0.000575647,-0.000114945,70
0.008965722,0.001070848,0.000379716,70
0.008261168,0.000358636,-0.000331801,70
0.00839573,0.00049466,-0.000195564,70
0.007662616,-0.000246422,-0.000934753,70
0.00671426,-0.001205086,-0.001892554,70
0.006474627,-0.001447324,-0.002133732,70
