N,eta2,epsilon2,omega2
60,0.044834781,0.045404715,0.045316324
70,0.042554447,0.043016995,0.042944558
80,0.038363982,0.038728197,0.03867114
90,0.036097084,0.036401273,0.036353187
100,0.035059157,0.035324756,0.035283422
10,0.112157966,0.121504463,0.120104672
20,0.079324746,0.082455986,0.081969007
30,0.064662874,0.066335189,0.066079652
40,0.055074193,0.056133312,0.055970591
50,0.047349382,0.048074118,0.047961803
60,0.047004319,0.047601831,0.047507618
70,0.044387241,0.044869711,0.044795274
80,0.039211389,0.039583649,0.039524956
90,0.037382858,0.037697882,0.037648878
100,0.035497651,0.035766573,0.035724305
10,0.112735165,0.122129762,0.120693489
20,0.077274792,0.080325113,0.079870432
30,0.063912139,0.065565039,0.065315258
40,0.056503792,0.057590403,0.057424045
50,0.05074248,0.05151915,0.051398834
60,0.04373597,0.044291936,0.044205621
70,0.040506572,0.040946861,0.040878308
80,0.039871975,0.040250506,0.04019105
90,0.037762615,0.038080839,0.038031539
100,0.035561866,0.035831274,0.03578915
10,0.108291667,0.117315973,0.115940946
20,0.081119261,0.084321337,0.08384759
30,0.063698797,0.06534618,0.065090764
40,0.052671022,0.053683926,0.05352754
50,0.051412092,0.052199012,0.052076564
60,0.046093434,0.046679367,0.046588747
70,0.041233535,0.041681725,0.041611572
80,0.040262625,0.040644865,0.040584755
90,0.03772705,0.038044975,0.037995477
100,0.035404186,0.035672399,0.035630552
10,0.114073465,0.123579587,0.12215924
20,0.078753308,0.081861991,0.081382089
30,0.062506964,0.064123523,0.063876207
40,0.055113508,0.056173383,0.056008977
50,0.051592454,0.052382135,0.052258458
60,0.046562512,0.047154409,0.047062245
70,0.04372124,0.044196471,0.044123368
80,0.040249864,0.040631983,0.040572421
90,0.036927127,0.037238311,0.037190245
100,0.035629841,0.035899765,0.035858097
10,0.11343189,0.122884547,0.12149916
20,0.078592084,0.081694403,0.08122227
30,0.065236242,0.066923386,0.066664754
40,0.053616739,0.05464783,0.054484603
50,0.049581191,0.050340087,0.05022211
60,0.045558466,0.046137599,0.046046675
70,0.042448353,0.042909748,0.042837959
80,0.039616594,0.039992701,0.039934727
90,0.037576352,0.037893007,0.037843912
100,0.035696088,0.035966513,0.035923799
10,0.112398395,0.121764927,0.120328142
